"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","usar token para autenticar peticion","webkit","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","7900","verificar usuario por API y luego hacer login por UI","firefox","2026-05-16","passed","2026-05-16","Mixed UI + API tests","ui\mixed.spec.ts","",""
"","167","GET usuario especifico","firefox","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","237","DELETE eliminar usuario","firefox","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","402","POST crear usuario","chromium","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","2750","Login Exitoso","firefox","2026-05-16","passed","2026-05-16","Login-Sauce demo","ui\saucedemo.spec.ts","",""
"","154","POST con ceredenciales incorrectas","webkit","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","306","crear usuario por API y verificar respuesta","webkit","2026-05-16","passed","2026-05-16","Mixed UI + API tests","ui\mixed.spec.ts","",""
"","458","GET lista de usuarios","chromium","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","292","usar token para autenticar peticion","firefox","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","2662","filter","firefox","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","2941","redireccion correcta despues del login","firefox","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","166","PUT modificar usuario","webkit","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","2679","Login Fallido","firefox","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","2810","login fallido con usuario bloqueado - datos externos","firefox","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","263","POST crear usuario","webkit","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","3238","verificar usuario por API y luego hacer login por UI","webkit","2026-05-16","passed","2026-05-16","Mixed UI + API tests","ui\mixed.spec.ts","",""
"","983","Login Fallido-Usuario bloqueado","chromium","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","155","PUT modificar usuario","firefox","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","2027","verificar cantidad de productos","webkit","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","1887","Login Fallido","webkit","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","2382","agregar producto al carrito","webkit","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
